City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
452,Quelimane,-17.8786,36.8883,74.16,97,74,4.81,MZ,1677967753
453,Sijunjung,-0.6876,100.9537,69.46,99,96,1.57,ID,1677967754
454,Oranjemund,-28.55,16.4333,64.02,82,0,5.08,NA,1677967754
455,Tartagal,-22.5164,-63.8013,85.8,55,42,3.33,AR,1677967754
456,Bandarbeyla,9.4942,50.8122,76.57,78,3,14.58,SO,1677967755
457,Kilindoni,-7.9139,39.6668,81.43,74,81,16.84,TZ,1677967755
458,Sakakah,29.9697,40.2064,66.15,20,0,7.9,SA,1677967755
459,Machaneng,-23.1862,27.4886,75.04,54,1,13.69,BW,1677967756
460,Salta,-24.7859,-65.4117,72.57,83,67,3.0,AR,1677967756
461,Tupik,54.4253,119.9327,12.69,84,98,4.09,RU,1677967614
462,San Jerónimo,-11.9472,-75.2829,61.27,64,97,6.38,PE,1677967756
463,Hambantota,6.1241,81.1185,75.54,100,75,4.61,LK,1677967756
464,Macheng,31.1783,115.0319,52.34,56,0,3.56,CN,1677967757
465,Pervomayskoye,43.919,46.7102,40.87,86,97,1.3,RU,1677967767
466,Saurimo,-9.6608,20.3916,65.48,96,100,3.53,AO,1677967767
467,Malbork,54.0359,19.0266,31.03,54,13,10.74,PL,1677967768
468,Tiruchchendur,8.4833,78.1167,79.23,82,100,16.42,IN,1677967768
469,Lashio,22.9333,97.75,55.56,51,0,1.41,MM,1677967768
470,Mozarlândia,-14.7447,-50.5706,80.55,71,69,4.81,BR,1677967769
471,Fairview,40.8126,-73.999,45.66,74,100,11.5,US,1677967539
472,Avera,33.194,-82.5271,76.51,43,0,8.93,US,1677967769
473,Comodoro Rivadavia,-45.8667,-67.5,62.46,27,0,13.8,AR,1677967769
474,North Myrtle Beach,33.816,-78.68,75.29,35,0,8.05,US,1677967770
475,Pimampiro,0.4,-77.9667,66.4,74,99,4.85,EC,1677967770
476,Mananara,-16.1667,49.7667,77.77,79,100,4.72,MG,1677967770
477,Nara,34.6851,135.8049,41.5,53,85,1.9,JP,1677967771
478,Orlik,52.5178,99.825,-1.97,97,80,2.93,RU,1677967771
479,Valga,57.7778,26.0473,30.0,91,99,1.99,EE,1677967771
480,Honningsvåg,70.9821,25.9704,26.35,74,75,27.63,NO,1677967772
481,Atambua,-9.1061,124.8925,71.82,90,89,1.43,ID,1677967772
482,Nässjö,57.6531,14.6968,23.92,57,5,10.96,SE,1677967772
483,Misratah,32.3754,15.0925,60.73,38,99,10.29,LY,1677967772
484,Pachelma,53.2443,43.3521,29.19,96,100,18.21,RU,1677967773
485,Acapulco de Juárez,16.8634,-99.8901,85.82,62,0,10.36,MX,1677967762
486,Calvià,39.5657,2.5062,47.95,71,0,5.37,ES,1677967773
487,Calderitas,18.55,-88.25,86.11,62,20,11.5,MX,1677967773
488,Grindavik,63.8424,-22.4338,37.87,100,75,6.91,IS,1677967774
489,Puerto Baquerizo Moreno,-0.9,-89.6,81.59,78,75,6.91,EC,1677967774
490,Palma di Montechiaro,37.1926,13.765,46.31,83,100,6.6,IT,1677967774
491,Mâncio Lima,-7.6142,-72.8958,80.65,77,99,1.39,BR,1677967774
492,Mbandaka,0.0487,18.2603,78.55,61,100,2.37,CD,1677967775
493,Amahai,-3.3333,128.9167,78.42,82,100,4.63,ID,1677967775
494,Dod Ballāpur,13.2919,77.5431,62.62,54,0,7.07,IN,1677967775
495,Montrose,38.4166,-108.2673,33.21,57,92,17.05,US,1677967776
496,Tongren,27.7172,109.1853,53.71,73,30,0.89,CN,1677967776
497,Rocha,-34.4833,-54.3333,74.82,68,18,7.02,UY,1677967776
498,Henties Bay,-22.116,14.2845,63.84,82,0,8.63,NA,1677967777
499,Xingtai,37.0631,114.4942,47.26,19,0,4.88,CN,1677967777
500,Charters Towers,-20.1,146.2667,72.52,83,98,10.76,AU,1677967777
501,Teahupoo,-17.8333,-149.2667,75.16,77,100,6.96,PF,1677967777
502,Rivadavia,-33.1905,-68.4608,90.72,15,0,8.12,AR,1677967778
503,Scottsbluff,41.8666,-103.6672,43.03,40,0,12.66,US,1677967778
504,Kalmar,56.6616,16.3616,31.96,55,1,10.0,SE,1677967778
505,Corning,42.1428,-77.0547,37.44,75,100,10.36,US,1677967213
506,Kyrylivka,46.3759,35.3675,41.52,92,35,20.69,UA,1677967779
